accuracy,auc,loss,val_accuracy,val_auc,val_loss
0.6220114827156067,0.6879796981811523,0.6739335060119629,0.6325423121452332,0.7052507400512695,0.6320266127586365
0.6263012886047363,0.7022318840026855,0.6375128626823425,0.610158383846283,0.7069128751754761,0.6464256048202515
0.6278806924819946,0.7034889459609985,0.632046639919281,0.6070596575737,0.70674067735672,0.6497847437858582
0.6275511980056763,0.7040403485298157,0.6304469704627991,0.614642858505249,0.7077177166938782,0.6419346928596497
0.6283935308456421,0.7042253017425537,0.6297641396522522,0.6193775534629822,0.7077841758728027,0.6318359375
0.6275545954704285,0.7045146226882935,0.6291359663009644,0.6304444074630737,0.7071837782859802,0.627421498298645
0.6280131340026855,0.7048882246017456,0.6287256479263306,0.6148353219032288,0.707834780216217,0.641338050365448
0.6272523403167725,0.7047502398490906,0.6287088990211487,0.6291356086730957,0.7084795236587524,0.6225102543830872
0.6307914853096008,0.7057005763053894,0.6277492642402649,0.6047693490982056,0.7075787782669067,0.6484287977218628
0.6272455453872681,0.7056416273117065,0.6276954412460327,0.6310025453567505,0.7080910205841064,0.6264092326164246
0.6275138258934021,0.7053765654563904,0.6276582479476929,0.6557922959327698,0.7085834741592407,0.6006416082382202
0.6283765435218811,0.7059390544891357,0.6271258592605591,0.6474199891090393,0.709108829498291,0.6146522760391235
0.6300917863845825,0.7057013511657715,0.6270578503608704,0.6358527541160583,0.7078542709350586,0.6349865198135376
0.6289879679679871,0.7057541012763977,0.6269522309303284,0.6370075345039368,0.7084229588508606,0.6130691766738892
0.628002941608429,0.7057443857192993,0.6271196603775024,0.6157206892967224,0.7079395055770874,0.6440557837486267
